mort2yr0,mort2yr1,woundRecur0,woundRecur1,C_L,Delta
0.45,0.25,0.4,0.25,0.15,91.45128048887642
0.15,0.30000000000000004,0.4,0.25,0.15,-35.92441752985468
0.2,0.30000000000000004,0.4,0.25,0.15,-19.45789768745044
0.25,0.30000000000000004,0.4,0.25,0.15,-1.7247618144378976
0.30000000000000004,0.30000000000000004,0.4,0.25,0.15,15.917358873481248
0.35,0.30000000000000004,0.4,0.25,0.15,34.294001241111516
0.4,0.30000000000000004,0.4,0.25,0.15,53.963792758848285
0.45,0.30000000000000004,0.4,0.25,0.15,72.46018692706195
0.15,0.35,0.4,0.25,0.15,-55.21592312133191
0.2,0.35,0.4,0.25,0.15,-37.841852981427905
0.25,0.35,0.4,0.25,0.15,-19.97403528624079
0.30000000000000004,0.35,0.4,0.25,0.15,-4.039072321256356
0.35,0.35,0.4,0.25,0.15,16.92675017092165
0.4,0.35,0.4,0.25,0.15,36.552015437888485
0.45,0.35,0.4,0.25,0.15,52.65673359515813
0.15,0.4,0.4,0.25,0.15,-71.49399663811727
0.2,0.4,0.4,0.25,0.15,-56.04682561984134
0.25,0.4,0.4,0.25,0.15,-40.99029064055901
0.30000000000000004,0.4,0.4,0.25,0.15,-22.83174961945855
0.35,0.4,0.4,0.25,0.15,-6.052855350763878
0.4,0.4,0.4,0.25,0.15,14.219299110420366
0.45,0.4,0.4,0.25,0.15,34.39972215874246
0.15,0.45,0.4,0.25,0.15,-92.00164312310721
0.2,0.45,0.4,0.25,0.15,-73.95938031111132
0.25,0.45,0.4,0.25,0.15,-57.044341480130754
0.30000000000000004,0.45,0.4,0.25,0.15,-43.04991198797512
0.35,0.45,0.4,0.25,0.15,-25.441671199901236
0.4,0.45,0.4,0.25,0.15,-7.661919931119144
0.45,0.45,0.4,0.25,0.15,16.6415588828051
0.15,0.15,0.45,0.25,0.15,21.7937234760808
0.2,0.15,0.45,0.25,0.15,40.091634952494815
0.25,0.15,0.45,0.25,0.15,53.86507255584178
0.30000000000000004,0.15,0.45,0.25,0.15,74.05764610415366
0.35,0.15,0.45,0.25,0.15,94.04717834436718
0.4,0.15,0.45,0.25,0.15,111.58974435737309
0.45,0.15,0.45,0.25,0.15,129.25449189719092
0.15,0.2,0.45,0.25,0.15,4.100042029380859
0.2,0.2,0.45,0.25,0.15,23.134236767481525
0.25,0.2,0.45,0.25,0.15,40.25403578179464
0.30000000000000004,0.2,0.45,0.25,0.15,58.07398088837971
0.35,0.2,0.45,0.25,0.15,74.79832972530028
0.4,0.2,0.45,0.25,0.15,95.91853158834721
0.45,0.2,0.45,0.25,0.15,113.66315879534648
0.15,0.25,0.45,0.25,0.15,-9.79419965726322
0.2,0.25,0.45,0.25,0.15,4.554522337807839
0.25,0.25,0.45,0.25,0.15,23.36512384400811
0.30000000000000004,0.25,0.45,0.25,0.15,42.01602485910229
0.35,0.25,0.45,0.25,0.15,59.03128711811934
0.4,0.25,0.45,0.25,0.15,78.1320318346165
0.45,0.25,0.45,0.25,0.15,96.06082337084649
0.15,0.30000000000000004,0.45,0.25,0.15,-27.59417807791317
0.2,0.30000000000000004,0.45,0.25,0.15,-12.318424413625394
0.25,0.30000000000000004,0.45,0.25,0.15,4.27789246978972
0.30000000000000004,0.30000000000000004,0.45,0.25,0.15,16.885932819065033
0.35,0.30000000000000004,0.45,0.25,0.15,37.60153834602369
0.4,0.30000000000000004,0.45,0.25,0.15,58.29009136410133
0.45,0.30000000000000004,0.45,0.25,0.15,80.53410837950344
